status_id,created_at,year,screen_name,text,favorite_count,retweet_count,hashtags,display_text_width
x950866561153331202,1/9/18,2018,realDonaldTrump,"Today, it was my great honor to sign a new Executive Order to ensure Veterans have the resources they need as they transition back to civilian life. We must ensure that our HEROES are given the care and support they so richly deserve! https://t.co/0MdP9DDIAS https://t.co/LP2a8KCBAp",79005,18857,,258
x948211438472089600,1/2/18,2018,realDonaldTrump,"Democrats are doing nothing for DACA - just interested in politics.  DACA activists and Hispanics will go hard against Dems, will start äóìfalling in loveäóù with Republicans and their President! We are about RESULTS.",87817,18806,,213
x950206523690639360,1/8/18,2018,realDonaldTrump,"...Clinton in the WH, doubling down on Barack Obamaäó»s failed policies, washes away any doubts that America made the right choice. This was truly a change election äóî and the changes Trump is bringing are far-reaching &amp; necessary.äóù Thank you Michael Goodwin! https://t.co/4fHNcx2Ydg",81984,18738,,284
x948202173049049088,1/2/18,2018,realDonaldTrump,"The Failing New York Times has a new publisher, A.G. Sulzberger. Congratulations! Here is a last chance for the Times to fulfill the vision of its Founder, Adolph Ochs, äóìto give the news impartially, without fear or FAVOR, regardless of party, sect, or interests involved.äóù Get...",79584,18186,,280
x950502279785959425,1/8/18,2018,realDonaldTrump,"In every decision we make, we are honoring Americaäó»s PROUD FARMING LEGACY. Years of crushing taxes, crippling regs, &amp; corrupt politics left our communities hurting, our economy stagnant, &amp; millions of hardworking Americans COMPLETELY FORGOTTEN. But they are not forgotten ANYMORE! https://t.co/MdYS7xnukQ",79427,17666,,288
x948194400114487296,1/2/18,2018,realDonaldTrump,"Sanctions and äóìotheräóù pressures are beginning to have a big impact on North Korea. Soldiers are dangerously fleeing to South Korea. Rocket man now wants to talk to South Korea for first time. Perhaps that is good news, perhaps not - we will see!",78081,17563,,245
x951650274032209920,1/12/18,2018,realDonaldTrump,Democrat Dianne Feinstein should never have released secret committee testimony to the public without authorization. Very disrespectful to committee members and possibly illegal. She blamed her poor decision on the fact she had a cold - a first!,72587,17512,,245
x947824196909961216,1/1/18,2018,realDonaldTrump,"Will be leaving Florida for Washington (D.C.) today at 4:00 P.M. Much work to be done, but it will be a great New Year!",115313,17122,,119
x948737652119031808,1/4/18,2018,realDonaldTrump,"äóìSome 40 U.S. companies have responded to President Trumpäó»s tax cut and reform victory in Congress last year by handing out bonuses up to $2,000, increases in 401k matches and spending on charity, a much higher number than previously known.äóù https://t.co/bmWrwWzxMR",68197,16831,,265
x950206338411499520,1/8/18,2018,realDonaldTrump,"äóìHis is turning out to be an enormously consequential presidency. So much so that, despite my own frustration over his missteps, there has never been a day when I wished Hillary Clinton were president. Not one. Indeed, as Trumpäó»s accomplishments accumulate, the mere thought of...",81288,16811,,280
x950823813868122112,1/9/18,2018,realDonaldTrump,"It was my great honor to sign H.R. 267, the äóìMartin Luther King, Jr. National Historical Park Act,äóù which redesignates the Martin Luther King, Junior, National Historic Site in the State of Georgia as the Martin Luther King, Jr. National Historical Park. https://t.co/Qe0b6HBFTY https://t.co/QTgaqTawPT",70976,16783,,278
x948205689683562496,1/2/18,2018,realDonaldTrump,"....impartial journalists of a much higher standard, lose all of your phony and non-existent äóìsources,äóù and treat the President of the United States FAIRLY, so that the next time I (and the people) win, you wonäó»t have to write an apology to your readers for a job poorly done! GL",77831,16728,,279
x948195478428102657,1/2/18,2018,realDonaldTrump,"Since taking office I have been very strict on Commercial Aviation. Good news - it was just reported that there were Zero deaths in 2017, the best and safest year on record!",89079,16617,,173
x948255367393349634,1/2/18,2018,realDonaldTrump,We will not rest until all of Americaäó»s GREAT VETERANS can receive the care they so richly deserve. Tremendous progress has been made in a short period of time. Keep up the great work @SecShulkin @DeptVetAffairs! https://t.co/ir25vW15hx https://t.co/OtuzIgxMn6,70572,16427,,236
x949303089416294401,1/5/18,2018,realDonaldTrump,The Mercer Family recently dumped the leaker known as Sloppy Steve Bannon. Smart!,79869,16117,,81
x951431836030459905,1/11/18,2018,realDonaldTrump,"äóìHouse votes on controversial FISA ACT today.äóù This is the act that may have been used, with the help of the discredited and phony Dossier, to so badly surveil and abuse the Trump Campaign by the previous administration and others?",64774,16087,,231
x948189482284707840,1/2/18,2018,realDonaldTrump,Companies are giving big bonuses to their workers because of the Tax Cut Bill. Really great!,87205,15755,,92
x950012437788585985,1/7/18,2018,realDonaldTrump,"Leaving Camp David for the White House. Great meetings with the Cabinet and Military on many very important subjects including Border Security &amp; the desperately needed Wall, the ever increasing Drug and Opioid Problem, Infrastructure, Military, Budget, Trade and DACA.",80877,15630,,272
x951813216291708928,1/12/18,2018,realDonaldTrump,"Never said anything derogatory about Haitians other than Haiti is, obviously, a very poor and troubled country. Never said äóìtake them out.äóù Made up by Dems. I have a wonderful relationship with Haitians. Probably should record future meetings - unfortunately, no trust!",54731,15091,,269
x951441504203104256,1/11/18,2018,realDonaldTrump,äóì45 year low in illegal immigration this year.äóù @foxandfriends,76156,14974,,62
x951229113897013248,1/10/18,2018,realDonaldTrump,"The United States needs the security of the Wall on the Southern Border, which must be part of any DACA approval. The safety and security of our country is #1! https://t.co/4CFzQXb5aS",63787,14915,,159
x951798415301718017,1/12/18,2018,realDonaldTrump,"Sadly, Democrats want to stop paying our troops and government workers in order to give a sweetheart deal, not a fair deal, for DACA. Take care of our Military, and our Country, FIRST!",57632,14734,,184
x948188264858603520,1/2/18,2018,realDonaldTrump,Thank you to Brandon Judd of the National Border Patrol Council for your kind words on how well we are doing at the Border. We will be bringing in more &amp; more of your great folks and will build the desperately needed WALL! @foxandfriends,69688,14584,,241
x951478281303416832,1/11/18,2018,realDonaldTrump,"Great news, as a result of our TAX CUTS &amp; JOBS ACT! https://t.co/SLvhLxP3Jl",54294,13579,,55
x951647402599026689,1/12/18,2018,realDonaldTrump,"More great news as a result of historical Tax Cuts and Reform: Fiat Chrysler announces plan to invest more than $1 BILLION in Michigan plant, relocating their heavy-truck production from Mexico to Michigan, adding 2,500 new jobs and paying $2,000 bonus to U.S. employees! https://t.co/47azKD0l9B",50855,13384,,271
x950946293077209088,1/10/18,2018,realDonaldTrump,".@ICEgov HSI agents and ERO officers, on behalf of an entire Nation, THANK YOU for what you are doing 24/7/365 to keep fellow Americanäó»s SAFE. Everyone is so grateful!
#LawEnforcementAppreciationDay
President @realDonaldTrump https://t.co/HXCpTlruVo",57611,13339,LawEnforcementAppreciationDay,225
x951788342647107584,1/12/18,2018,realDonaldTrump,"....countries which are doing badly. I want a merit based system of immigration and people who will help take our country to the next level. I want safety and security for our people. I want to stop the massive inflow of drugs. I want to fund our military, not do a Dem defund....",55512,13225,,280
x948722170531893248,1/4/18,2018,realDonaldTrump,"Melania and I are deeply saddened by the death of Thomas S. Monson, a beloved President of the Church of Jesus Christ of Latter-day Saints...
https://t.co/ETD3fWtfU3",59645,12741,,165
x951793123985973248,1/12/18,2018,realDonaldTrump,"The language used by me at the DACA meeting was tough, but this was not the language used. What was really tough was the outlandish proposal made - a big setback for DACA!",48533,12666,,171
x948318907848413184,1/2/18,2018,realDonaldTrump,"Congratulations to Senator Orrin Hatch on an absolutely incredible career. He has been a tremendous supporter, and I will never forget the (beyond kind) statements he has made about me as President. He is my friend and he will be greatly missed in the U.S. Senate! https://t.co/0VjzLEeHTl",63218,12489,,264
x951785587765280768,1/12/18,2018,realDonaldTrump,"The so-called bipartisan DACA deal presented yesterday to myself and a group of Republican Senators and Congressmen was a big step backwards. Wall was not properly funded, Chain &amp; Lottery were made worse and USA would be forced to take large numbers of people from high crime.....",45342,12297,,284
x951645893513613312,1/12/18,2018,realDonaldTrump,"Thank you Adam Levine, The Federalist, in interview on @foxandfriends  äóìDonald Trump is the greatest President our Country has ever seen.äóù",56568,11856,,138
x950862709599465472,1/9/18,2018,realDonaldTrump,"Thanks to all of the Republican and Democratic lawmakers for todayäó»s very productive meeting on immigration reform. There was strong agreement to negotiate a bill that deals with border security, chain migration, lottery and DACA. https://t.co/SdqAQ3aL3z https://t.co/8DYHZHspAy",56068,11593,,254
x951596346011680768,1/11/18,2018,realDonaldTrump,"Yesterday, I signed the #INTERDICTAct (H.R. 2142) with bipartisan members of Congress to help end the flow of drugs into our country. Together, we are committed to doing everything we can to combat the deadly scourge of drug addiction and overdose in the United States! https://t.co/ELZvFol5Lo",48446,11548,INTERDICTAct,269
x950937350003183618,1/10/18,2018,realDonaldTrump,"Thank you @GOPLeader Kevin McCarthy! Couldnäó»t agree w/you more. TOGETHER, we are #MAGA_ôˆ__ôˆŸ https://t.co/QaxtqpyXTR",49297,11439,MAGA,88
x950501926227136512,1/8/18,2018,realDonaldTrump,We have been working every day to DELIVER for Americaäó»s Farmers just as they work every day to deliver FOR US. #AFBF18 https://t.co/QDH7fvFkZ7,56205,11388,AFBF18,118
x951790999784783872,1/12/18,2018,realDonaldTrump,"....Because of the Democrats not being interested in life and safety, DACA has now taken a big step backwards. The Dems will threaten äóìshutdown,äóù but what they are really doing is shutting down our military, at a time we need it most. Get smart, MAKE AMERICA GREAT AGAIN!",44494,11367,,271
x950879772644659200,1/9/18,2018,realDonaldTrump,"RT @Scavino45: äóìUtilities cutting rates, cite benefits of Trump tax reformäóù https://t.co/u19JMs4Bsr",0,11305,,99
x951457382651056128,1/11/18,2018,realDonaldTrump,"With that being said, I have personally directed the fix to the unmasking process since taking office and todayäó»s vote is about foreign surveillance of foreign bad guys on foreign land. We need it! Get smart!",52493,11241,,208
x951184020150382592,1/10/18,2018,realDonaldTrump,"I want to thank my @Cabinet for working tirelessly on behalf of our country. 2017 was a year of monumental achievement and we look forward to the year ahead. Together, we are delivering results and MAKING AMERICA GREAT AGAIN! https://t.co/ptXa1hAPwW https://t.co/yv6RALkQf3",52218,11227,,249
x950443653666713601,1/8/18,2018,realDonaldTrump,"Canäó»t wait to be back in the amazing state of Tennessee to address the 99th American @FarmBureau Federationäó»s Annual Convention in Nashville! #AFBF18
On my way now - join me LIVE at 4:00pmE: https://t.co/QaljAqekdD. https://t.co/Wm7Io0hYT8",53166,10176,AFBF18,216
x951646736233189377,1/12/18,2018,realDonaldTrump,Small Business Poll has highest approval numbers in the polls history. All business is just at the beginning of something really special!,50078,10093,,137
x951204878562549767,1/10/18,2018,realDonaldTrump,"Today, it was my great honor to welcome Prime Minister Erna Solberg of Norway to the @WhiteHouse - a great friend and ally of the United States! Joint press conference: https://t.co/qWR1BhfQZI https://t.co/PJvwznjRCO",46307,8900,,192
